Date,Open,High,Low,Close,Trend,Near support,Near resistance,Far support,Far resistance,Shares,Price,Cash,PnL,N_far,N_near
2022-03-31,177.03908825500807,177.22823501437304,173.61457797406737,173.82363891601562,-1.0,175.90421764748558,178.80111592917942,175.54582665083754,178.80111592917942,-1.0,178.80111592917942,178.80111592917942,4.977477013163792,2.0,1.0
2022-04-01,173.24624085514364,174.09241888864904,171.1656569817865,173.5249786376953,-1.0,173.61457797406737,177.22823501437304,173.61457797406737,178.80111592917942,-1.0,,178.80111592917942,5.276137291484105,2.0,1.0
2022-04-04,173.78381678417725,177.6861609154981,173.65439738916183,177.63638305664062,1.0,171.1656569817865,174.09241888864904,171.1656569817865,177.22823501437304,0.0,174.09241888864904,4.708697040530382,4.708697040530382,2.0,1.0
2022-04-05,176.7006202184449,177.49702041800688,173.63448932367697,174.2716064453125,1.0,173.65439738916183,177.6861609154981,171.1656569817865,177.6861609154981,0.0,,4.708697040530382,4.708697040530382,2.0,1.0
2022-04-06,171.58377953907205,172.84806436343942,169.36382656893872,171.05616760253906,-1.0,173.63448932367697,177.49702041800688,173.63448932367697,177.6861609154981,-1.0,177.49702041800688,182.20571745853726,11.149549855998202,2.0,1.0
2022-04-07,170.38916389543385,172.57925289147934,169.0850660692005,171.36474609375,-1.0,169.36382656893872,172.84806436343942,169.36382656893872,177.49702041800688,-1.0,,182.20571745853726,10.840971364787265,2.0,1.0
2022-04-08,171.00638132225865,171.00638132225865,168.43799862305795,169.32398986816406,-1.0,169.0850660692005,172.57925289147934,169.0850660692005,172.84806436343942,-1.0,,182.20571745853726,12.881727590373202,2.0,1.0
2022-04-11,167.95021627633236,168.26876724815926,164.75466592135652,165.0035400390625,-1.0,168.43799862305795,171.00638132225865,168.43799862305795,172.57925289147934,-1.0,,182.20571745853726,17.202177419474765,2.0,1.0
2022-04-12,167.26331707222218,169.10497638286253,165.88952711623114,166.90493774414062,-1.0,164.75466592135652,168.26876724815926,164.75466592135652,171.00638132225865,-1.0,,182.20571745853726,15.30077971439664,2.0,1.0
2022-04-13,166.63614486722585,170.26970071833287,166.01894194864445,169.63258361816406,1.0,165.88952711623114,169.10497638286253,164.75466592135652,169.10497638286253,0.0,169.10497638286253,13.100741075674733,13.100741075674733,2.0,1.0
2022-04-14,169.85159089618367,170.49867267018354,164.29671916173487,164.54559326171875,-1.0,166.01894194864445,170.26970071833287,165.88952711623114,170.26970071833287,-1.0,170.26970071833287,183.3704417940076,18.824848532288854,2.0,1.0
2022-04-18,163.18176913951493,165.84970740791573,162.83335451126285,164.32659912109375,-1.0,164.29671916173487,170.49867267018354,164.29671916173487,170.49867267018354,-1.0,,183.3704417940076,19.043842672913854,2.0,1.0
2022-04-19,164.27681659544726,167.064209492619,163.17181500796403,166.64608764648438,-1.0,162.83335451126285,165.84970740791573,162.83335451126285,170.49867267018354,-1.0,,183.3704417940076,16.72435414752323,2.0,1.0
2022-04-20,167.99996063613114,168.11943052885604,165.3519518568213,166.4768524169922,-1.0,163.17181500796403,167.064209492619,162.83335451126285,167.064209492619,-1.0,,183.3704417940076,16.893589377015417,2.0,1.0
